ID,title,authors,year,publisher,subject
760,Bravo Two Zero,Andy McNab,2005,A. Mondadori,"Persian Gulf War, 1991"
5590,The Philosophy of Andy Warhol,Andy Warhol,1977,Puffin Books,Art
2372,Jane's Warlord,Angela Knight,2004,Avon,Fiction
2827,Master of Dragons,Angela Knight,2007,Del Rey Books,Fiction
2828,Master of Swords,Angela Knight,2006,Penguin Books,Fiction
2830,Master of the Moon,Angela Knight,2005,Perennial,Fiction
2831,Master of the Night,Angela Knight,2004,Eos,Fiction
826,Captive Dreams,Angela Knight;Diane Whiteside,2006,A. Mondadori,Fiction
3299,Over the Moon,Angela Knight;MaryJanice Davidson;Virginia Kantra;Sunny,2007,A. Mondadori,Fiction
1952,Hard Candy,Angela Knight;Sheri Gilmore;Morgan Hawke,2005,Signet Book,Fiction
572,Baumgartner's Bombay,Anita Desai,2000,Harper Mass Market Paperbacks (Mm),Fiction
955,Clear Light of Day,Anita Desai,2000,Zebra Books,Fiction
1124,"Cry, the Peacock",Anita Desai,1980,Disney Press,Fiction
3098,"New Jewish Wedding, Revised",Anita Diamant,2001,Avon,Reference
5721,The Red Tent,Anita Diamant,2005,Colleccion Millenium,Fiction
2117,How to Be a Jewish Parent,Anita Diamant;Karen Kushner,2000,Pocket,Family & Relationships
5008,The Gonzo Way,Anita Thompson,2007,Mira,Biography & Autobiography
6651,Who Was Anne Frank?,Ann Abramson,2007,Silhouette,Juvenile Nonfiction
1742,Freedom Riders,Ann Bausum,2006,Mira,Juvenile Nonfiction
913,Chilly Scenes of Winter,Ann Beattie,1991,Dell,Fiction
1705,Forever in Blue,Ann Brashares,2007,Ballantine Books,Juvenile Fiction
1832,Girls in Pants,Ann Brashares,2005,Conari Press,Juvenile Fiction
5817,The Second Summer of the Sisterhood,Ann Brashares,2004,Picador,Juvenile Fiction
421,Anita Diamant's The Red Tent,Ann Finding,2004,Alyson Publications,Literary Criticism
1855,Godless,Ann H. Coulter,2006,Dell Publishing Company,Political Science
2539,Laughter and Tears,Ann Hewetson,2005,Simon &amp; Schuster,Psychology
536,Babysitters Club,Ann M. Martin,1995,Mondadori (IT),Juvenile Fiction
1873,"Good-bye Stacey, Good-bye",Ann M. Martin,1988,Farrar,English language
2816,Mary Anne and the Little Princess,Ann M. Martin,1996,Mira,Juvenile Fiction
6040,The truth about Stacey,Ann M. Martin,2002,Delta,Babysitters Club (Imaginary organization)
2505,Kristy's Great Idea,Ann M. Martin;Raina Telgemeier,2006,Pocket,Juvenile Fiction
4267,The Accidental Bodyguard,Ann Major,1996,Distribooks Inc,Fiction
4051,Star Wars,Ann Margaret Lewis;Helen Keier,2006,John Wiley &amp; Sons,Fiction
5549,The Other Woman,Ann O'Leary,1999,Warner Books,Fiction
